app_id,title,date_release,win,mac,linux,rating,positive_ratio,user_reviews,price_final,price_original,discount,steam_deck
72730,Fallout New Vegas: Dead Money,2011-02-21,TRUE,FALSE,FALSE,Mixed,62,3137,4.99,4.99,0,TRUE
1104450,Bombergrounds: Reborn,2022-10-06,TRUE,TRUE,FALSE,Very Positive,88,7899,0,0,0,TRUE
1114220,Gedonia,2022-10-14,TRUE,FALSE,FALSE,Very Positive,90,2312,14.99,14.99,0,TRUE
1124140,Little Misfortune Original Soundtrack,2019-09-18,FALSE,FALSE,FALSE,Positive,100,11,6.99,6.99,0,TRUE
1132190,Coloring Game: Little City,2019-08-16,TRUE,FALSE,FALSE,Very Positive,94,959,0,0,0,TRUE
1133950,The Castle,2019-08-25,TRUE,FALSE,FALSE,Positive,93,15,5.99,5.99,0,TRUE
1150190,Street Fighter V - Champion Edition Upgrade Kit,2020-02-13,TRUE,FALSE,FALSE,Mostly Positive,70,186,0,0,0,TRUE
1189440,VenusBlood FRONTIER International,2020-02-07,TRUE,FALSE,FALSE,Very Positive,93,690,39.99,39.99,0,TRUE
1195480,DOOM Soundtrack,2020-02-11,FALSE,FALSE,FALSE,Very Positive,81,124,9.99,9.99,0,TRUE
1207480,Pupper park,2020-01-17,TRUE,TRUE,FALSE,Positive,91,23,2.99,2.99,0,TRUE
1213230,Rain on Your Parade,2021-04-15,TRUE,TRUE,TRUE,Very Positive,97,490,11.99,14.99,20,TRUE
1239050,Mists of Aiden,2020-11-10,TRUE,FALSE,FALSE,Very Positive,91,871,6.99,6.99,0,TRUE
1281881,Need for Speed™ Heat - Keys to the Map,2020-06-04,TRUE,FALSE,FALSE,Positive,82,39,4.99,4.99,0,TRUE
1287602,Desperados III: Money for the Vultures - Part 3: Once More With Feeling,2020-11-03,TRUE,TRUE,TRUE,Very Positive,90,53,4.99,4.99,0,TRUE
